Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 6850 WT";"Подвесной светильник Lumina Deco Raveo LDP 6850 WT";Светильники;Современный;10750;"белый, прозрачный";"белый, прозрачный";"металл, стекло";стекло;хром;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;400;400;;200;"300 - 1200";RAVEO;"https://luminadecoshop.ru/24806/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-wt.jpg;https://luminadecoshop.ru/24807/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-wt.jpg;https://luminadecoshop.ru/25047/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-wt.jpg";4,5;5
"LDP 1029-3 GD";"Подвесной светильник Lumina Deco Veroni LDP 1029-3 GD";Светильники;Современный;19500;"золотой, прозрачный";"золотой, прозрачный";"металл, стекло";стекло;золотой;прозрачный;"Lumina Deco";E27;220-240;40;IP20;3;500;"150, 200, 300";;350;"450 - 1200";VERONI;"https://luminadecoshop.ru/24808/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-gd.jpg;https://luminadecoshop.ru/24809/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-gd.jpg;https://luminadecoshop.ru/24810/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-gd.jpg;https://luminadecoshop.ru/24811/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-gd.jpg";6;0
"LDP 1029-3 CHR";"Подвесной светильник Lumina Deco Veroni LDP 1029-3 CHR";Светильники;Современный;19500;"прозрачный, хром";"прозрачный, хром";"металл, стекло";стекло;хром;прозрачный;"Lumina Deco";E27;220-240;40;IP20;3;500;"150, 200, 300";;350;"450 - 1200";VERONI;"https://luminadecoshop.ru/24812/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-chr.jpg;https://luminadecoshop.ru/24813/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-chr.jpg;https://luminadecoshop.ru/24814/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-chr.jpg";6;0
"LDP 1029-3 R.GD";"Подвесной светильник Lumina Deco Veroni LDP 1029-3 R.GD";Светильники;Современный;19500;"розовое золото, прозрачный";"розовое золото, прозрачный";"металл, стекло";стекло;розово-золотой;прозрачный;"Lumina Deco";E27;220-240;40;IP20;3;500;"150, 200, 300";;350;"450 - 1200";VERONI;"https://luminadecoshop.ru/24815/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-rgd.jpg;https://luminadecoshop.ru/24816/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-rgd.jpg;https://luminadecoshop.ru/24817/podvesnoj-svetilnik-lumina-deco-veroni-ldp-1029-3-rgd.jpg";6;0
"LDW 1029-1 R.GD";"Бра Lumina Deco Veroni LDW 1029-1 R.GD";Бра;Современный;5750;"розовое золото";"розовое золото";"металл, стекло";стекло;розово-золотой;прозрачный;"Lumina Deco";G9;220-240;40;IP20;1;150;150;200;200;;VERONI;"https://luminadecoshop.ru/22286/bra-lumina-deco-veroni-ldw-1029-1-rgd.jpg;https://luminadecoshop.ru/24818/bra-lumina-deco-veroni-ldw-1029-1-rgd.jpg;https://luminadecoshop.ru/24819/bra-lumina-deco-veroni-ldw-1029-1-rgd.jpg";2;0
"LDW 1029-1 GD";"Бра Lumina Deco Veroni LDW 1029-1 GD";Бра;Современный;5750;золотой;"золотой, прозрачный";"металл, стекло";стекло;золотой;прозрачный;"Lumina Deco";G9;220-240;40;IP20;1;150;150;200;200;;VERONI;"https://luminadecoshop.ru/22285/bra-lumina-deco-veroni-ldw-1029-1-gd.jpg;https://luminadecoshop.ru/24820/bra-lumina-deco-veroni-ldw-1029-1-gd.jpg;https://luminadecoshop.ru/24821/bra-lumina-deco-veroni-ldw-1029-1-gd.jpg";2;8
"LDW 1029-1 CHR";"Бра Lumina Deco Veroni LDW 1029-1 CHR";Бра;Современный;5750;хром;"прозрачный, хром";"металл, стекло";стекло;хром;прозрачный;"Lumina Deco";G9;220-240;40;IP20;1;150;150;200;200;;VERONI;"https://luminadecoshop.ru/22284/bra-lumina-deco-veroni-ldw-1029-1-chr.jpg;https://luminadecoshop.ru/24822/bra-lumina-deco-veroni-ldw-1029-1-chr.jpg;https://luminadecoshop.ru/24823/bra-lumina-deco-veroni-ldw-1029-1-chr.jpg";2;0
"LDP 1215-200 WT+GD";"Подвесной светильник Lumina Deco Sorento LDP 1215-200 WT+GD";Светильники;Современный;9250;"белый, золотой";белый;металл;стекло;золотой;черный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;500;"500 - 1300";SORENTO;"https://luminadecoshop.ru/24824/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-200-wtgd.jpg;https://luminadecoshop.ru/24825/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-200-wtgd.jpg;https://luminadecoshop.ru/24826/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-200-wtgd.jpg;https://luminadecoshop.ru/27426/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-200-wtgd.jpg;https://luminadecoshop.ru/27427/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-200-wtgd.jpg";2;181
"LDP 1215-300 WT+GD";"Подвесной светильник Lumina Deco Sorento LDP 1215-300 WT+GD";Светильники;Современный;11750;"белый, золотой";белый;металл;стекло;золотой;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;550;"550 - 1300";SORENTO;"https://luminadecoshop.ru/24827/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-300-wtgd.jpg;https://luminadecoshop.ru/24828/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-300-wtgd.jpg;https://luminadecoshop.ru/24829/podvesnoj-svetilnik-lumina-deco-sorento-ldp-1215-300-wtgd.jpg";3;25
"LDP 1213 GY+GD";"Подвесной светильник Lumina Deco Bolena LDP 1213 GY+GD";Светильники;"Индустриальный, Лофт";7050;"бронза, дымчатый серый";"темно серый";"металл, стекло";стекло;бронза;черный;"Lumina Deco";E27;220-240;40;IP20;1;120;120;;240;"300 - 1200";BOLENA;"https://luminadecoshop.ru/24830/podvesnoj-svetilnik-lumina-deco-bolena-ldp-1213-gygd.jpg;https://luminadecoshop.ru/24831/podvesnoj-svetilnik-lumina-deco-bolena-ldp-1213-gygd.jpg;https://luminadecoshop.ru/24832/podvesnoj-svetilnik-lumina-deco-bolena-ldp-1213-gygd.jpg";2;0
"LDP 6833-200 WT+GD";"Подвесной светильник Lumina Deco Signia LDP 6833-200 WT+GD";Светильники;Современный;12200;"белый, бронза";белый;металл;стекло;бронза;черный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;240;260;"300 - 1200";SIGNIA;"https://luminadecoshop.ru/22452/podvesnoj-svetilnik-lumina-deco-signia-ldp-6833-200-wtgd.jpg;https://luminadecoshop.ru/24833/podvesnoj-svetilnik-lumina-deco-signia-ldp-6833-200-wtgd.jpg;https://luminadecoshop.ru/24834/podvesnoj-svetilnik-lumina-deco-signia-ldp-6833-200-wtgd.jpg";2,5;0
